_id,name,code,semester,year
67f2f754bb9244400ab2b02b,Economics,ECO,Spring,2025
67f2f754bb9244400ab2b045,Industrial & Systems Engineer,ISE,Spring,2025
67f2f754bb9244400ab2b058,Marine Geosciences,MGS,Spring,2025
67f2f754bb9244400ab2b05d,Mech and Aero Engineering,MAE,Spring,2025
67f2f754bb9244400ab2b065,Molecular/Cellular Pharmacolgy,MCP,Spring,2025
67f2f754bb9244400ab2b06c,Nursing,NUR,Spring,2025
67f2f754bb9244400ab2b07a,Real Estate Development,RED,Spring,2025
67f2f754bb9244400ab2b03f,Healthcare Sciences,HCS,Spring,2025
67f2f754bb9244400ab2b046,Innovation,Technology&Design,Spring,2025
67f2f754bb9244400ab2b050,Keyboard Performance,MKP,Spring,2025
67f2f754bb9244400ab2b052,Latin,LAT,Spring,2025
67fc963e13ef2b6ddd3be7e7,Accounting Bus Admin,ACC,Fall,2025
67fc963e13ef2b6ddd3be7ed,Architecture,ARC,Fall,2025
67fc963e13ef2b6ddd3be7eb,Anthropology,APY,Fall,2025
67fc963e13ef2b6ddd3be7e8,Aerospace Studies,AIS,Fall,2025
67fc963e13ef2b6ddd3be7ee,Art,ART,Fall,2025
67fc963e13ef2b6ddd3be7e9,Africana Studies,AAS,Fall,2025
67fc963e13ef2b6ddd3be7ea,American Studies,AMS,Fall,2025
67fc963e13ef2b6ddd3be7ec,Arabic,ARB,Fall,2025
67fc963e13ef2b6ddd3be7f4,Biomedical Engineering,BME,Fall,2025
67fc963e13ef2b6ddd3be7fa,Cancer Biology,CAB,Fall,2025
67fc963e13ef2b6ddd3be80a,Dermatology & Cutaneous Surger,DER,Fall,2025
67fc963e13ef2b6ddd3be7f2,Biochem and Molecular Biology,BMB,Fall,2025
67fc963e13ef2b6ddd3be806,Cuban Studies,CUB,Fall,2025
67fc963e13ef2b6ddd3be809,Department of Music Studies,MUS,Fall,2025
67fc963e13ef2b6ddd3be7fe,Cinematic Arts,CCA,Fall,2025
67fc963e13ef2b6ddd3be7f7,Business,BUS,Fall,2025
67fc963e13ef2b6ddd3be805,Construction Management,CMA,Fall,2025
67fc963e13ef2b6ddd3be807,Dance,DAN,Fall,2025
67fc963e13ef2b6ddd3be7f1,Atmospheric Science,ATM,Fall,2025
67fc963e13ef2b6ddd3be7ff,Civil & Architectural Engineer,CAE,Fall,2025
67fc963e13ef2b6ddd3be803,Communication Studies,COS,Fall,2025
67fc963e13ef2b6ddd3be7f6,Biostatistics,BST,Fall,2025
67fc963e13ef2b6ddd3be7fd,Chinese,CHI,Fall,2025
67fc963e13ef2b6ddd3be7fc,Chemistry,CHM,Fall,2025
67fc963e13ef2b6ddd3be7f3,Biology,BIL,Fall,2025
67fc963e13ef2b6ddd3be800,Classics,CLA,Fall,2025
67fc963e13ef2b6ddd3be7f9,Business Technology,BTE,Fall,2025
67fc963e13ef2b6ddd3be7f0,Arts and Sciences General,ASG,Fall,2025
67fc963e13ef2b6ddd3be7ef,Art History,ARH,Fall,2025
67fc963e13ef2b6ddd3be7f8,Business Law,BSL,Fall,2025
67fc963e13ef2b6ddd3be7fb,Chemical Environ Material Engr,CET,Fall,2025
67fc963e13ef2b6ddd3be801,Clinical and Translational Inv,CTI,Fall,2025
67fc963e13ef2b6ddd3be802,Communication,COM,Fall,2025
