classNumber,subjectCode,catalogNumber,course_level,final_fill_rate,fill_velocity_score,early_rush_score,waitlist_demand_score,time_to_fill_days,time_to_fill_score,popularity_score
1084,SAP,0.0,0.0,0.05,0.0003129424522735594,0.0,1.0,0.0,0.0,0.1650782356130684
1085,SAP,0.0,0.0,0.05,0.0003129424522735594,0.0,1.0,0.0,0.0,0.1650782356130684
1091,KIN,211.0,2.0,0.9666666666666667,0.012762061387815651,0.0,1.0,2.707546296296296,0.9711364038485124,0.6374177961166564
1092,KIN,155.0,1.0,0.9875,0.008358487855700102,0.0,1.0,70.98471064814815,0.24327276549950627,0.49699417506382626
1093,KIN,155.0,1.0,0.9555555555555556,0.009450150967341801,0.0,1.0,72.77467592592592,0.22419097363000573,0.4838673991345033
1094,KIN,155.0,1.0,1.0,0.014161506577545384,0.0,1.0,4.431898148148148,0.952754079031757,0.6440911924507378
1095,KIN,155.0,1.0,0.9555555555555556,0.012208592058568167,0.0,1.0,7.913252314814815,0.9156413615633909,0.6228470869939869
1096,KIN,140.0,1.0,0.6,0.004823178612913052,0.0,1.0,0.0,0.0,0.33120579465322825
1097,KIN,150.0,1.0,0.9714285714285714,0.012481827310514457,0.0,1.0,7.913252314814815,0.9156413615633909,0.6276773005688783
1098,KIN,150.0,1.0,1.0,0.010754031729798103,0.0,1.0,2.408425925925926,0.9743251543355729,0.6475535387995641
1099,KIN,150.0,1.0,1.0,0.014061592614949244,0.0,1.0,9.360798611111111,0.900209901808102,0.6335573785153578
1100,KIN,150.0,1.0,0.9777777777777777,0.009726615778911759,0.0,1.0,29.839386574074073,0.6818994361572521,0.5821448745095117
1101,KIN,150.0,1.0,0.9428571428571428,0.008377482629834806,0.0,1.0,37.89798611111111,0.5959913344558038,0.5541497804057623
1102,KIN,150.0,1.0,0.9428571428571428,0.009261361425740508,0.0,1.0,37.89798611111111,0.5959913344558038,0.5543707501047387
1103,KIN,184.0,1.0,0.925,0.010915982110729536,0.0,1.0,29.839386574074073,0.6818994361572521,0.5666088827591329
1104,KIN,184.0,1.0,0.975,0.011723905213238978,0.0,1.0,9.360798611111111,0.900209901808102,0.6254729566649302
1105,KIN,184.0,1.0,1.0,0.0015893012668789159,0.0,1.0,10.352395833333333,0.8896390532851015,0.6283251359737401
1106,KIN,184.0,1.0,0.3333333333333333,0.011178668174100867,0.0,1.0,0.0,0.0,0.2527946670435252
1107,KIN,201.0,2.0,0.9666666666666667,0.009303097746297694,0.0,1.0,15.434699074074073,0.8354595371450442,0.6094176818655833
1108,KIN,201.0,2.0,1.0,0.00813574287718085,0.0,1.0,29.839386574074073,0.6818994361572521,0.5884138229507456
1109,KIN,201.0,2.0,1.0,0.007385630269915258,0.0,1.0,32.902002314814816,0.6492506485709231,0.5816965372816635
1110,KIN,201.0,2.0,1.0,0.007416702813820495,0.0,1.0,43.74702546296297,0.5336380849630993,0.558581792696075
1111,KIN,201.0,2.0,1.0,0.002878416703721277,0.0,1.0,78.95609953703703,0.15829436643387285,0.4823784774627049
1112,KIN,202.0,2.0,0.97,0.00935210997680588,0.0,1.0,9.360798611111111,0.900209901808102,0.6233800078558219
1113,KIN,206.0,2.0,0.9333333333333333,0.006116871498964818,0.0,1.0,12.454074074074073,0.8672342685306947,0.6049760715808802
1114,KIN,206.0,2.0,0.9666666666666667,0.008341693714782786,0.0,1.0,15.434699074074073,0.8354595371450442,0.6091773308577045
